round,lr,val_loss,val_dice_WT,val_dice_TC,val_dice_ET,val_mean_dice,local_loss_TCGA-GBM,crop_source_counts_TCGA-GBM,local_loss_TCGA-LGG,crop_source_counts_TCGA-LGG,local_loss_UCSF-PDGM,crop_source_counts_UCSF-PDGM,local_loss_UPENN-GBM,crop_source_counts_UPENN-GBM
1,0.0001,1.40587249483381,0.6513389785374913,0.5946359482372895,0.5500127823371005,0.5986625697039605,1.9550318121910095,"{""tumor_jitter"": 31, ""et_jitter"": 15, ""foreground"": 16, ""random"": 10}",1.923591919567274,"{""tumor_jitter_no_et"": 3, ""foreground"": 10, ""et_jitter"": 6, ""tumor_jitter"": 22, ""random"": 5}",1.596901466597372,"{""tumor_jitter"": 125, ""random"": 29, ""et_jitter"": 63, ""foreground"": 50, ""tumor_jitter_no_et"": 1}",1.5110700283636593,"{""foreground"": 76, ""tumor_jitter"": 179, ""et_jitter"": 72, ""random"": 30, ""tumor_jitter_no_et"": 1}"
2,9.998275132250803e-05,1.2725435711088635,0.685004143062092,0.6633132302336955,0.6253185358057219,0.6578786363671698,1.3919036620193057,"{""tumor_jitter"": 37, ""et_jitter"": 16, ""random"": 6, ""foreground"": 13}",1.5052639297817065,"{""tumor_jitter"": 27, ""foreground"": 6, ""et_jitter"": 5, ""random"": 6, ""tumor_jitter_no_et"": 2}",1.3674325862927224,"{""et_jitter"": 55, ""random"": 27, ""tumor_jitter"": 150, ""foreground"": 36}",1.3337354713312075,"{""et_jitter"": 68, ""foreground"": 86, ""tumor_jitter"": 171, ""random"": 33}"
3,9.993101731091593e-05,1.1900049084708804,0.6628630181153615,0.6673719036792937,0.6149152401837166,0.6483833873261239,1.296241819858551,"{""foreground"": 17, ""tumor_jitter"": 35, ""et_jitter"": 12, ""random"": 8}",1.3989005762597788,"{""tumor_jitter"": 26, ""et_jitter"": 7, ""foreground"": 8, ""random"": 4, ""tumor_jitter_no_et"": 1}",1.2600217523859507,"{""et_jitter"": 51, ""tumor_jitter"": 133, ""random"": 27, ""foreground"": 56, ""tumor_jitter_no_et"": 1}",1.2218356025951536,"{""foreground"": 82, ""tumor_jitter"": 169, ""et_jitter"": 72, ""random"": 35}"
4,9.984483401949768e-05,1.1070659143584116,0.7531215412276132,0.7239512984599019,0.6662911408186498,0.7144546601687217,1.1894679996702406,"{""random"": 8, ""tumor_jitter"": 32, ""et_jitter"": 19, ""foreground"": 13}",1.334176120550736,"{""foreground"": 13, ""tumor_jitter"": 24, ""et_jitter"": 3, ""random"": 2, ""tumor_jitter_no_et"": 4}",1.1795972665744041,"{""random"": 22, ""et_jitter"": 56, ""tumor_jitter"": 140, ""tumor_jitter_no_et"": 1, ""foreground"": 49}",1.135813348786125,"{""et_jitter"": 61, ""tumor_jitter"": 178, ""random"": 36, ""foreground"": 83}"
5,9.972426151079067e-05,1.0334950929596312,0.7543718908514295,0.7442933467528611,0.6837755831893136,0.7274802735978682,1.1240662386020024,"{""tumor_jitter"": 31, ""foreground"": 15, ""random"": 13, ""et_jitter"": 13}",1.2715921039166658,"{""tumor_jitter"": 21, ""foreground"": 13, ""random"": 6, ""et_jitter"": 5, ""tumor_jitter_no_et"": 1}",1.1001621942911575,"{""tumor_jitter"": 126, ""foreground"": 66, ""et_jitter"": 54, ""random"": 22}",1.0641609403674164,"{""random"": 34, ""et_jitter"": 66, ""tumor_jitter"": 184, ""foreground"": 74}"
6,9.956938381373695e-05,0.9697122102692014,0.7555403658321925,0.7585156017119146,0.6993229687020613,0.7377929787487227,1.0289480636517208,"{""tumor_jitter"": 34, ""foreground"": 16, ""et_jitter"": 14, ""random"": 8}",1.210578177286231,"{""tumor_jitter"": 21, ""et_jitter"": 5, ""foreground"": 12, ""tumor_jitter_no_et"": 6, ""random"": 2}",1.0327885555687235,"{""tumor_jitter"": 141, ""et_jitter"": 57, ""foreground"": 44, ""random"": 25, ""tumor_jitter_no_et"": 1}",1.001975812059541,"{""foreground"": 78, ""et_jitter"": 68, ""tumor_jitter"": 155, ""random"": 57}"
7,9.938030886512228e-05,0.9142495399429684,0.7675339508624304,0.7713744731181096,0.7195315789533786,0.7528133343113063,0.9969086961613761,"{""et_jitter"": 11, ""tumor_jitter"": 41, ""foreground"": 14, ""random"": 6}",1.1496855901635212,"{""random"": 4, ""tumor_jitter"": 29, ""tumor_jitter_no_et"": 4, ""et_jitter"": 3, ""foreground"": 6}",0.9631854464758688,"{""tumor_jitter"": 145, ""et_jitter"": 48, ""foreground"": 51, ""random"": 23, ""tumor_jitter_no_et"": 1}",0.9438987504170594,"{""foreground"": 76, ""tumor_jitter"": 173, ""et_jitter"": 81, ""random"": 28}"
8,9.915716843435315e-05,0.8646267959049769,0.7964638846261161,0.7961094996055645,0.7412036299195499,0.7779256713837435,0.9409574237134721,"{""foreground"": 15, ""tumor_jitter"": 36, ""et_jitter"": 13, ""random"": 8}",1.1103298404942388,"{""foreground"": 10, ""tumor_jitter"": 26, ""random"": 5, ""et_jitter"": 5}",0.9334317263382584,"{""tumor_jitter"": 114, ""et_jitter"": 59, ""foreground"": 65, ""random"": 30}",0.8859414381687868,"{""tumor_jitter"": 156, ""et_jitter"": 90, ""foreground"": 77, ""random"": 35}"
9,9.890011803162453e-05,0.8154411026409694,0.801453337924821,0.7865811961749674,0.7349790856159987,0.7743378732385957,0.8893232974741194,"{""tumor_jitter"": 44, ""foreground"": 13, ""random"": 8, ""et_jitter"": 7}",1.071659829305566,"{""foreground"": 14, ""random"": 7, ""tumor_jitter"": 23, ""et_jitter"": 2}",0.8636238623910876,"{""foreground"": 56, ""tumor_jitter"": 133, ""et_jitter"": 62, ""random"": 16, ""tumor_jitter_no_et"": 1}",0.8330507654717515,"{""random"": 27, ""et_jitter"": 80, ""tumor_jitter"": 182, ""foreground"": 68, ""tumor_jitter_no_et"": 1}"
10,9.86093367995423e-05,0.7702135846728371,0.8106742481390635,0.7895723718975081,0.7390628384877911,0.7797698195081209,0.8265778836276796,"{""et_jitter"": 15, ""random"": 6, ""tumor_jitter"": 37, ""foreground"": 14}",1.0410854686861453,"{""random"": 4, ""foreground"": 14, ""et_jitter"": 7, ""tumor_jitter"": 16, ""tumor_jitter_no_et"": 5}",0.8345822215969882,"{""foreground"": 52, ""tumor_jitter"": 138, ""et_jitter"": 58, ""random"": 19, ""tumor_jitter_no_et"": 1}",0.800966539196462,"{""tumor_jitter"": 183, ""random"": 48, ""foreground"": 68, ""et_jitter"": 59}"
11,9.828502738827592e-05,0.7317156661124457,0.79733543466954,0.7987107571395676,0.7494650238427449,0.7818370718839508,0.7959803723626666,"{""tumor_jitter"": 42, ""et_jitter"": 13, ""random"": 4, ""foreground"": 13}",1.0204219584879668,"{""tumor_jitter_no_et"": 3, ""tumor_jitter"": 30, ""et_jitter"": 4, ""random"": 3, ""foreground"": 6}",0.7816574506795229,"{""et_jitter"": 42, ""tumor_jitter"": 146, ""foreground"": 59, ""random"": 20, ""tumor_jitter_no_et"": 1}",0.7468086747483834,"{""random"": 27, ""tumor_jitter"": 204, ""foreground"": 69, ""et_jitter"": 57, ""tumor_jitter_no_et"": 1}"
